example_id,correctness,groundedness,relevance,helpfulness,brand_consistency,safety,reviewer_comment,annotated_by,annotated_at,human_verified
gold_042,5,4,5,5,4,4,This is accurate.,manual_human_reviewer,2026-09-11T02:19:53.968739,True
gold_170,4,5,5,2,3,3,,manual_human_reviewer,2026-09-11T02:25:14.809350,True
gold_127,4,4,4,5,1,5,,manual_human_reviewer,2026-09-11T02:25:29.251427,True
gold_088,3,2,4,5,5,3,,manual_human_reviewer,2026-09-11T02:25:38.901290,True
gold_070,4,5,4,4,5,5,,manual_human_reviewer,2026-09-11T02:25:47.037409,True
gold_149,5,4,4,4,5,5,,manual_human_reviewer,2026-09-11T02:25:56.591860,True
gold_126,5,2,5,3,3,3,,manual_human_reviewer,2026-09-11T02:26:05.147820,True
gold_189,5,5,5,4,5,5,,manual_human_reviewer,2026-09-11T02:26:17.158228,True
gold_178,4,5,5,1,4,4,,manual_human_reviewer,2026-09-11T02:26:25.810877,True
gold_102,5,5,5,4,5,4,,manual_human_reviewer,2026-09-11T02:26:33.452940,True
gold_078,4,4,5,4,5,5,,manual_human_reviewer,2026-09-11T02:26:41.649215,True
gold_005,4,4,2,3,5,4,,manual_human_reviewer,2026-09-11T02:26:50.116304,True
gold_028,4,5,5,5,5,5,,manual_human_reviewer,2026-09-11T02:27:00.106673,True
gold_148,5,5,5,5,5,5,,manual_human_reviewer,2026-09-11T02:27:09.659190,True
gold_062,5,4,5,5,5,5,,manual_human_reviewer,2026-09-11T02:27:17.408354,True
gold_147,2,4,3,3,4,4,,manual_human_reviewer,2026-09-11T02:27:24.142277,True
gold_029,5,4,5,4,4,4,,manual_human_reviewer,2026-09-11T02:27:32.307147,True
gold_184,4,5,4,5,4,5,,manual_human_reviewer,2026-09-11T02:27:38.209839,True
gold_020,4,2,5,3,3,5,,manual_human_reviewer,2026-09-11T02:27:48.044767,True
gold_066,5,4,4,4,4,3,,manual_human_reviewer,2026-09-11T02:27:57.178647,True
gold_131,4,4,4,3,3,3,,manual_human_reviewer,2026-09-11T02:28:04.579773,True
gold_055,3,5,4,4,4,5,,manual_human_reviewer,2026-09-11T02:28:12.659812,True
gold_011,4,5,2,5,3,4,,manual_human_reviewer,2026-09-11T02:28:21.778775,True
gold_054,4,4,2,4,4,5,,manual_human_reviewer,2026-09-11T02:28:28.012192,True
gold_151,5,5,5,5,5,4,,manual_human_reviewer,2026-09-11T02:28:35.092245,True
gold_091,2,3,3,4,4,5,,manual_human_reviewer,2026-09-11T02:28:41.633357,True
gold_012,4,1,2,3,4,5,,manual_human_reviewer,2026-09-11T02:28:51.648756,True
gold_092,4,4,4,4,4,4,,manual_human_reviewer,2026-09-11T02:29:01.242086,True
gold_051,4,4,4,4,5,5,,manual_human_reviewer,2026-09-11T02:29:24.331834,True
gold_013,4,3,2,3,3,3,,manual_human_reviewer,2026-09-11T02:29:59.966584,True
gold_059,5,4,4,5,5,5,,manual_human_reviewer,2026-09-11T02:30:09.960026,True
gold_156,2,3,3,2,3,3,,manual_human_reviewer,2026-09-11T02:30:15.810585,True
gold_133,4,4,4,3,3,3,,manual_human_reviewer,2026-09-11T02:30:28.700910,True
gold_196,2,2,2,2,3,2,,manual_human_reviewer,2026-09-11T02:30:35.566883,True
gold_075,1,1,2,1,3,3,,manual_human_reviewer,2026-09-11T02:31:22.727004,True
gold_199,4,3,4,3,2,2,,manual_human_reviewer,2026-09-11T02:31:29.374883,True
gold_113,2,2,2,4,3,3,,manual_human_reviewer,2026-09-11T02:31:37.537815,True
gold_112,4,4,4,3,3,4,,manual_human_reviewer,2026-09-11T02:31:48.423309,True
gold_135,4,5,4,4,4,4,,manual_human_reviewer,2026-09-11T02:31:58.033270,True
gold_077,5,5,4,4,3,4,,manual_human_reviewer,2026-09-11T02:32:15.060599,True
