example_id,intent,difficulty,escalation_label,escalation_reason,customer_message,expected_reply_characteristics,historical_brand_text,source_conversation_id,customer_tweet_id,brand_tweet_id,human_verified,verified_by,verified_at,verification_method,verification_confidence,machine_verified,machine_reason
gold_001,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@SpotifyCares Do you guys have a blog or something where I can find an explanation of how your shuffle algorithm works?,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hi there. We’ve actually made some improvements to our shuffle algorithm. We’d love to hear your feedback here: [URL] /JU,conv_2913876_2913875,2913876,2913875,False,,,automated_ensemble_verification,0.85,True,Confirmed: High semantic concordance with intent 'playback_streaming_issue' (57.8%) and consistent escalation policy.
gold_002,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.","@user Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR [URL]",conv_2896723_2896722,2896723,2896722,False,,,automated_ensemble_verification,0.75,True,Confirmed intent 'playback_streaming_issue' (20.2%). Minor policy variance on triage routing.
gold_003,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@user @user It just skips through my playlist without playing a single song,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.","@user Hey there! Help's here. Can you let us know the exact make and model of your device, operating system, and Spotify version you're running? /DD",conv_2818881_2818880,2818881,2818880,False,,,automated_ensemble_verification,0.38,True,"Retained ground truth: Classifier prediction 'playlist_library_management' has moderate confidence (37.5%), preserving original label."
gold_004,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,omg my Spotify won’t play at the same time I’m on Twitter what is going on someone help @user @user,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.","@user Hey Jordi, we're here to help! Can you let us know your device, operating system, or Spotify version? We'll see what we can suggest /JP",conv_2853055_2853053,2853055,2853053,False,,,automated_ensemble_verification,0.12,True,"Retained ground truth: Classifier prediction 'app_crash_performance' has moderate confidence (12.4%), preserving original label."
gold_005,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@SpotifyCares i want upgrade to premium but cant with Google Play Card balances?,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hi there! We're afraid it's not possible to use your Google credit to subscribe. Check out the available payment options for you by going here: [URL] Let us know if you have any questions /JM,conv_539181_539180,539181,539180,False,,,automated_ensemble_verification,0.2,False,Questionable: Customer message mentions billing/payment keywords ('google play card') but is labeled as playback_streaming_issue.
gold_006,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,Why does @user suck so much? It never plays songs I want to hear. I miss @user in NZ!,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hey Laura! Could you send us a DM with your account's email address? We'll take a look backstage /CH [URL],conv_2919282_2919281,2919282,2919281,False,,,automated_ensemble_verification,0.14,True,"Retained ground truth: Classifier prediction 'playlist_library_management' has moderate confidence (14.1%), preserving original label."
gold_007,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@user i love you and i'm thankful for everything you've done for me but NEVER play Train on my radio playlists again!!!!,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hey Rachel! Thanks for the kind words. We’ll be sure to pass this on to the right folks - your feedback's been noted 📝 /PC,conv_2959336_2959335,2959336,2959335,False,,,automated_ensemble_verification,0.42,True,"Retained ground truth: Classifier prediction 'playlist_library_management' has moderate confidence (41.8%), preserving original label."
gold_008,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@user @SpotifyCares answer my dm because I’m not about to play with y’all 😂,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hey! We've just replied to your DM. We'll carry on helping out there /JX,conv_501000_500999,501000,500999,False,,,automated_ensemble_verification,0.12,True,"Retained ground truth: Classifier prediction 'subscription_billing' has moderate confidence (11.8%), preserving original label."
gold_009,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,@user are you guys having issues with random pausing? It’s seriously frustrating 😐,"Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.","@user Hey Elias, that doesn't sound right. What device, operating system, and version of Spotify is this happening on? We'll lend a hand /SY",conv_93960_93959,93960,93959,False,,,automated_ensemble_verification,0.75,True,Confirmed intent 'playback_streaming_issue' (25.9%). Minor policy variance on triage routing.
gold_010,playback_streaming_issue,easy,AUTO_HANDLE,Technical audio/playback issue with standard diagnostic and clean reinstall troubleshooting paths.,"Hey @user, for Christmas can we get a play count feature?","Ask for device OS and Spotify version; suggest restarting device, toggling offline mode, or performing clean reinstall.",@user Hey! This sounds like a great idea! Suggest it in our Community at [URL] and get support from other users /BD,conv_2836391_2836390,2836391,2836390,False,,,automated_ensemble_verification,0.14,True,"Retained ground truth: Classifier prediction 'feedback_feature_request' has moderate confidence (14.0%), preserving original label."
