example_id,difficulty,intent,customer_message,draft_reply,escalation_decision,human_overall,judge_overall,abs_diff,human_correctness,judge_correctness,human_groundedness,judge_groundedness,human_relevance,judge_relevance,human_helpfulness,judge_helpfulness,human_brand_consistency,judge_brand_consistency,human_safety_unsupported_claims,judge_safety_unsupported_claims
gold_042,easy,subscription_billing,@user What about 99p a month for loyal customers who’ve been premium since Spotify started?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,5.0,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5
gold_170,easy,catalog_licensing,@SpotifyCares I think someone else is using my Spotify? Found an artist and song saved that wasn't by me,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_127,easy,family_duo_plan,@user is it possible to get a discount on Spotify Premium for Family by paying for a whole year all at once?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,5.0,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5
gold_088,easy,app_crash_performance,@user you wanna explain why I’m paying $9.99 a month for this? Also your desktop app crashes @user frequently [URL],Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.83,4.83,0.0,5,5,5,5,4,4,5,5,5,5,5,5
gold_070,easy,account_security_access,"@user every time I try to reset password it says ""The CSRF token is invalid. Please try to resubmit the form.""",Hey! We take account security very seriously. Please send us a direct message with your account's email address so we can look backstage and secure your account /SC,ESCALATE,4.17,4.17,0.0,2,2,5,5,5,5,3,3,5,5,5,5
gold_149,easy,device_connectivity,@SpotifyCares hi! Where abouts in your backlog is the Mazda/ Spotify Bluetooth integration bug? [URL],Hey! Make sure both your phone and external speaker are connected to the exact same Wi-Fi network. Restarting your router and re-pairing Bluetooth or Spotify Connect usually resolves connection hiccups /SC,AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_126,easy,family_duo_plan,@user having issues with trying to add family. the page is blank for me.,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_189,easy,feedback_feature_request,What is Stranger Things mode @user and how do I know what playlists are compatible with this feature?,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_178,easy,catalog_licensing,"@SpotifyCares hi its quite a while ago, but i removed a song from my playlist a long time ago, and i cant remember the name of the song, so maybe you could get it back for me? - Unknown<3","Hi! If a playlist went missing, you can often restore it by logging into your account page on spotify.com and clicking 'Recover playlists'. For local files, ensure both devices are on the exact same Wi-Fi network /SC",AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_102,easy,playlist_library_management,@user how do I add to a collab playlist??? It’s not letting me!!!,"Hi! If a playlist went missing, you can often restore it by logging into your account page on spotify.com and clicking 'Recover playlists'. For local files, ensure both devices are on the exact same Wi-Fi network /SC",AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
