example_id,correctness,groundedness,relevance,helpfulness,brand_consistency,safety,reviewer_comment,annotated_by,annotated_at,human_verified
gold_042,,,,,,,,,,False
gold_170,,,,,,,,,,False
gold_127,,,,,,,,,,False
gold_088,,,,,,,,,,False
gold_070,,,,,,,,,,False
gold_149,,,,,,,,,,False
gold_126,,,,,,,,,,False
gold_189,,,,,,,,,,False
gold_178,,,,,,,,,,False
gold_102,,,,,,,,,,False
gold_078,,,,,,,,,,False
gold_005,,,,,,,,,,False
gold_028,,,,,,,,,,False
gold_148,,,,,,,,,,False
gold_062,,,,,,,,,,False
gold_147,,,,,,,,,,False
gold_029,,,,,,,,,,False
gold_184,,,,,,,,,,False
gold_020,,,,,,,,,,False
gold_066,,,,,,,,,,False
gold_131,,,,,,,,,,False
gold_055,,,,,,,,,,False
gold_011,,,,,,,,,,False
gold_054,,,,,,,,,,False
gold_151,,,,,,,,,,False
gold_091,,,,,,,,,,False
gold_012,,,,,,,,,,False
gold_092,,,,,,,,,,False
gold_051,,,,,,,,,,False
gold_013,,,,,,,,,,False
gold_059,,,,,,,,,,False
gold_156,,,,,,,,,,False
gold_133,,,,,,,,,,False
gold_196,,,,,,,,,,False
gold_075,,,,,,,,,,False
gold_199,,,,,,,,,,False
gold_113,,,,,,,,,,False
gold_112,,,,,,,,,,False
gold_135,,,,,,,,,,False
gold_077,,,,,,,,,,False
